Date,Stock,macro_gdp,macro_cpi,macro_csent,macro_candh,macro_retailsal,macro_indpro,macro_bondyd,macro_ppiaco,macro_DCOILBRENTEU,Debt to Equity Ratio,Return on Assets,TTM Net EPS,PE Ratio,FF-RmxRf,FF-SMB,FF-HML,FF-Rf,adjusted,sma3,sma13,sma20,ema14,rsi14,macd,signal,Social Media Sentiment,ret,ret1
6/1/2018,COST,18565.70,0.16,98.20,-0.06,437527.00,103.25,2.91,204.20,2.35,2.12,0.08,7.73,28.45,0.00,0.01,-0.02,0.00,193.28,197.55,178.47,173.83,182.25,72.21,5.52,4.58,-0.02,0.04,0.05
7/1/2018,COST,18699.75,0.01,97.90,-0.02,440422.00,103.46,2.89,204.30,2.35,2.12,0.08,7.73,28.45,0.03,-0.02,0.00,0.00,202.26,205.81,181.85,177.14,186.62,75.29,6.89,5.00,0.27,0.05,0.05
8/1/2018,COST,18699.75,0.06,96.20,-0.03,439876.00,104.18,2.89,203.40,2.35,2.12,0.08,7.73,28.45,0.03,0.01,-0.04,0.00,211.95,215.30,187.40,180.46,191.78,78.10,8.50,5.56,-0.02,0.05,0.05
9/1/2018,COST,18699.75,0.12,100.10,-0.06,439346.00,104.17,3.00,203.60,1.73,2.25,0.08,7.38,29.63,0.00,-0.02,-0.02,0.00,222.93,225.62,193.52,184.15,197.74,80.67,10.35,6.25,0.00,0.05,-0.04
10/1/2018,COST,18733.74,0.18,98.60,-0.01,444148.00,104.05,3.15,204.60,1.73,2.25,0.08,7.38,29.63,-0.08,-0.05,0.03,0.00,213.83,229.53,198.57,186.86,201.62,72.71,12.00,7.05,0.00,-0.04,0.02
11/1/2018,COST,18733.74,-0.33,97.50,-0.01,445807.00,103.96,3.12,202.30,1.73,2.25,0.08,7.38,29.63,0.02,-0.01,0.00,0.00,217.34,231.13,203.91,189.98,205.42,73.67,12.88,7.93,0.00,0.02,-0.08
12/1/2018,COST,18733.74,-0.32,98.30,-0.19,436884.00,103.87,2.83,201.00,2.01,2.02,0.08,7.80,26.59,-0.10,-0.02,-0.02,0.00,199.98,222.85,207.05,192.01,206.24,60.79,12.51,8.75,0.00,-0.08,-0.01
1/1/2019,COST,18835.41,0.19,91.20,0.01,439793.00,103.27,2.71,199.10,2.01,2.02,0.08,7.80,26.59,0.08,0.03,0.00,0.00,198.19,217.15,208.74,193.76,206.71,59.64,11.89,9.51,0.00,-0.01,0.02
2/1/2019,COST,18835.41,0.42,93.80,-0.08,440875.00,102.82,2.68,199.20,2.01,2.02,0.08,7.80,26.59,0.03,0.02,-0.03,0.00,202.54,211.74,210.41,195.90,207.66,61.36,11.82,10.26,0.00,0.02,0.09
3/1/2019,COST,18835.41,0.56,98.40,0.01,446954.00,102.90,2.57,200.80,2.05,1.95,0.08,8.15,27.94,0.01,-0.03,-0.04,0.00,219.95,218.57,213.88,199.84,210.92,67.87,12.23,11.01,-0.08,0.09,0.05
4/1/2019,COST,18962.18,0.53,97.20,-0.04,447230.00,102.38,2.53,202.10,2.05,1.95,0.08,8.15,27.94,0.04,-0.02,0.02,0.00,231.79,230.20,218.34,204.23,215.41,71.41,12.96,11.68,0.15,0.05,0.00
5/1/2019,COST,18962.18,0.21,100.00,-0.02,448985.00,102.58,2.40,201.70,2.05,1.95,0.08,8.15,27.94,-0.07,-0.01,-0.02,0.00,232.29,240.46,222.52,208.40,219.31,71.42,13.28,12.21,0.24,0.00,0.06
6/1/2019,COST,18962.18,0.02,98.20,-0.02,448992.00,102.59,2.07,200.30,2.47,1.91,0.08,8.26,34.00,0.07,0.00,-0.01,0.00,246.16,249.45,227.31,213.33,224.62,75.10,13.60,12.57,-0.32,0.06,0.07
7/1/2019,COST,19130.93,0.17,98.40,-0.02,453667.00,102.20,2.06,200.70,2.47,1.91,0.08,8.26,34.00,0.01,-0.02,0.00,0.00,262.49,260.00,232.75,218.60,231.50,78.63,13.92,12.79,0.00,0.07,0.00
8/1/2019,COST,19130.93,-0.01,89.80,0.01,455967.00,102.91,1.63,199.20,2.47,1.91,0.08,8.26,34.00,-0.03,-0.02,-0.05,0.00,263.53,270.88,237.54,223.08,237.61,78.82,13.76,12.88,-0.21,0.00,0.05
9/1/2019,COST,19130.93,0.08,93.20,-0.05,452048.00,102.58,1.70,198.40,1.90,2.17,0.08,8.43,33.96,0.01,-0.01,0.07,0.00,277.59,281.70,242.63,228.05,244.80,81.34,13.08,12.95,-0.10,0.05,0.02
10/1/2019,COST,19215.69,0.23,95.50,-0.03,453451.00,101.78,1.71,198.60,1.90,2.17,0.08,8.43,33.96,0.02,0.00,-0.02,0.00,281.98,288.31,247.22,233.50,251.64,82.08,12.95,13.07,-0.32,0.02,0.02
11/1/2019,COST,19215.69,-0.05,96.80,0.00,455933.00,102.10,1.81,199.00,1.90,2.17,0.08,8.43,33.96,0.04,0.01,-0.02,0.00,287.33,296.24,252.93,239.22,258.23,82.87,12.88,13.19,0.00,0.02,-0.02
12/1/2019,COST,19215.69,-0.09,99.30,-0.01,458923.00,101.76,1.86,199.00,2.10,1.87,0.08,8.52,31.57,0.03,0.01,0.02,0.00,281.24,297.30,257.90,244.44,263.10,78.10,13.36,13.31,0.00,-0.02,0.03
1/1/2020,COST,18989.88,0.39,99.80,0.03,456113.00,101.30,1.76,199.30,2.10,1.87,0.08,8.52,31.57,0.00,-0.03,-0.06,0.00,288.98,299.54,264.91,249.74,268.39,79.70,14.21,13.45,0.00,0.03,0.03
2/1/2020,COST,18989.88,0.27,101.00,-0.01,457898.00,101.70,1.50,196.70,2.10,1.87,0.08,8.52,31.57,-0.08,0.01,-0.04,0.00,297.15,302.79,272.69,255.01,274.05,81.17,15.32,13.68,0.00,0.03,-0.04
